"Drug_ID","Segmented_SMILE"
"DB00458","CN(;N(C;(C);C)C;)CC;CCC;CCN;CN1;N1C;1C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2CC;CCC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12"
"DB00459","COC;OC1;C1=;1=C;=C(;C(C;(C);C)C;)C(;C(C;(C);C)=;)=C;=C(;C(\;(\C;\C=;C=C;=C\;C\C;\C(;C(\;(\C;\C);C)=;)=C;=C\;C\C;\C=;C=C;=C\;C\C;\C(;C(\;(\C;\C);C)=;)=C;=C\;C\C;\C(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(C;(C);C)=;)=C;=C1"
"DB00460","COC;OC(;C(=;(=O;=O);O)C;)CC;CCC;CC1;C1=;1=C;=C2;C2N;2NC;NC(;C(\;(\C;\C=;C=C;=C3;C3/;3/N;/N=;N=C;=C(;C(/;(/C;/C=;C=C;=C4;C4\;4\N;\N\;N\C;\C(;C(=;(=C;=C/;C/C;/C5;C5=;5=N;=N/;N/C;/C(;C(=;(=C;=C\;C\2;\2);2)/;)/C;/C(;C(C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)=;)=C;=C5;C5C;5C);C)C;)C(;C(C;(C=;C=C;=C);C)=;)=C;=C4;C4C;4C);C)C;)C2;C2=;2=C;=CC;CC=;C=C;=C(;C([;([C;[C@;C@@;@@H;@H];H](;](C;(C(;C(=;(=O;=O);O)O;)OC;OC);C)[;)[C;[C@;C@@;@@];@]3;]32;32C;2C);C)C;)C(;C(=;(=O;=O);O)O;)OC;OC);C)=;)=C;=C1;C1C"
"DB00461","COC;OC1;C1=;1=C;=CC;CC2;C2=;2=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C=;C=C;=C(;C(C;(CC;CCC;CC(;C(C;(C);C)=;)=O;=O);O)C;)C=;C=C;=C2"
"DB00462","[Br;Br-;r-];-].;].[;.[H;[H];H][;][C;[C@;C@];@]1;]12;12C;2C[;C[C;[C@;C@@;@@H;@H];H](;](C;(C[;C[C;[C@;C@@;@@];@](;]([;([H;[H];H]);])(;)(C;(C3;C3O;3OC;OC1;C13;13);3)[;)[N;[N+;N+];+]2;]2(;2(C;(C);C)C;)C);C)O;)OC;OC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CO;CO);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00465","OC(;C(=;(=O;=O);O)C;)C1;C1C;1CC;CCN;CN2;N2C;2C1;C1=;1=C;=CC;CC=;C=C;=C2;C2C;2C(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00467","CCN;CN1;N1C;1C=;C=C;=C(;C(C;(C(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC(;C(F;(F);F)=;)=C;=C(;C(N;(N=;N=C;=C1;C12;12);2)N;)N1;N1C;1CC;CCN;CNC;NCC;CC1"
"DB00468","[H];H][;][C;[C@;C@];@]1;]1(;1(C;(C[;C[C;[C@;C@@;@@H;@H];H]2;]2C;2CC;CC[;C[N;[N@;N@];@]1;]1C;1C[;C[C;[C@;C@@;@@H;@H];H]2;]2C;2C=;C=C;=C);C)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)C1;C1=;1=C;=CC;CC=;C=N;=NC;NC2;C2=;2=C;=CC;CC=;C=C;=C(;C(O;(OC;OC);C)C;)C=;C=C;=C1;C12"
"DB00469","CN1;N1C;1C(;C(C;(C(;C(=;(=O;=O);O)N;)NC;NC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=N;=N2;N2);2)=;)=C;=C(;C(O;(O);O)C;)C2;C2=;2=C;=C(;C(C;(C=;C=C;=CS;CS2;S2);2)S;)S1;S1(;1(=;(=O;=O);O)=;)=O"
"DB00470","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C=;C=C;=C(;C(C;(C);C)C;)CC;CC[;C[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)C(;C(C;(C);C)(;)(C;(C);C)O;)OC;OC1;C1=;1=C;=C2;C2C;2C(;C(O;(O);O)=;)=C;=CC;CC(;C(C;(CC;CCC;CCC;CCC;CC);C)=;)=C;=C1"
"DB00471","OC(;C(=;(=O;=O);O)C;)CC;CC1;C1(;1(C;(CC;CC1;C1);1)C;)CS;CS[;S[C;[C@;C@H;@H];H](;](C;(CC;CCC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1C;1C(;C(O;(O);O)(;)(C;(C);C)C;)C);C)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC(;C(\;(\C;\C=;C=C;=C\;C\C;\C2;C2=;2=N;=NC;NC3;C3=;3=C;=C(;C(C;(C=;C=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C3;C3);3)C;)C=;C=C;=C2;C2);2)=;)=C;=C1"
"DB00472","CNC;NCC;CCC;CC(;C(O;(OC;OC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C(;C(F;(F);F)(;)(F;(F);F)F;)F);F)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00474","CCC;CC#;C#C;#CC;CC(;C(C;(C);C)C;)C1;C1(;1(C;(CC;CC=;C=C;=C);C)C;)C(;C(=;(=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)N;)N(;N(C;(C);C)C;)C1;C1=;1=O"
"DB00475","CNC;NC1;C1=;1=N;=NC;NC2;C2=;2=C;=C(;C(C;(C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C2;C2);2)C;)C(;C(C;(C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2);2)=;)=[;=[N;[N+;N+];+](;]([;([O;[O-;O-];-]);])C;)C1"
"DB00476","CNC;NCC;CC[;C[C;[C@;C@H;@H];H](;](O;(OC;OC1;C1=;1=C;=CC;CC=;C=C;=CC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12;12);2)C;)C1;C1=;1=C;=CC;CC=;C=C;=CS;CS1"
"DB00477","CN(;N(C;(C);C)C;)CC;CCC;CCN;CN1;N1C;1C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2S;2SC;SC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C2"
"DB00479","NCC;CC[;C[C;[C@;C@H;@H];H](;](O;(O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H]1;]1C;1C[;C[C;[C@;C@H;@H];H](;](N;(N);N)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O[;O[C;[C@;C@H;@H];H]2;]2O;2O[;O[C;[C@;C@H;@H];H](;](C;(CN;CN);N)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H]2;]2O;2O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H]1;]1O;1O[;O[C;[C@;C@H;@H];H]1;]1O;1O[;O[C;[C@;C@H;@H];H](;](C;(CO;CO);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](N;(N);N)[;)[C;[C@;C@H;@H];H]1;]1O"
"DB00480","NC1;C1=;1=C;=CC;CC=;C=C;=CC;CC2;C2=;2=C;=C1;C1C;1CN;CN(;N(C;(C1;C1C;1CC;CCC;CC(;C(=;(=O;=O);O)N;)NC;NC1;C1=;1=O;=O);O)C;)C2;C2=;2=O"
"DB00481","OC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=C(;C(C;(C(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=C(;C(O;(OC;OCC;CCN;CN3;N3C;3CC;CCC;CCC;CCC;CC3;C3);3)C;)C=;C=C;=C2;C2);2)C;)C2;C2=;2=C;=C(;C(S;(S1;S1);1)C;)C=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C2"
"DB00482","CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC(;C(=;(=N;=NN;NN1;N1C;1C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)S;)S(;S(N;(N);N)(;)(=;(=O;=O);O)=;)=O;=O);O)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB00483","[I-;I-];-].;].[;.[I;[I-;I-];-].;].[;.[I;[I-;I-];-].;].C;.CC;CC[;C[N;[N+;N+];+](;](C;(CC;CC);C)(;)(C;(CC;CC);C)C;)CC;CCO;COC;OC1;C1=;1=C;=CC;CC=;C=C;=CC;CC(;C(O;(OC;OCC;CC[;C[N;[N+;N+];+](;](C;(CC;CC);C)(;)(C;(CC;CC);C)C;)CC;CC);C)=;)=C;=C1;C1O;1OC;OCC;CC[;C[N;[N+;N+];+](;](C;(CC;CC);C)(;)(C;(CC;CC);C)C;)CC"
"DB00484","BrC;rC1;C1=;1=C;=C(;C(N;(NC;NC2;C2=;2=N;=NC;NCC;CCN;CN2;N2);2)C;)C=;C=C;=CC;CC2;C2=;2=N;=NC;NC=;C=C;=CN;CN=;N=C;=C1;C12"
"DB00485","[H];H][;][C;[C@;C@];@]1;]12;12S;2SC;SC(;C(C;(C);C)(;)(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](N;(N1;N1C;1C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H]2;]2N;2NC;NC(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=C(;C(C;(C);C)O;)ON;ON=;N=C;=C1;C1C;1C1;C1=;1=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=CC;CC=;C=C;=C1;C1C;1Cl;Cl);l)C;)C(;C(O;(O);O)=;)=O"
"DB00486","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CC(;C(=;(=O;=O);O)C;)CC;CC[;C[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)C(;C(C;(C);C)(;)(C;(C);C)O;)OC;OC1;C1=;1=C;=CC;CC(;C(=;(=C;=CC;CC(;C(O;(O);O)=;)=C;=C2;C21;21);1)C;)C(;C(C;(C);C)(;)(C;(C);C)C;)CC;CCC;CCC;CCC;CCC"
"DB00487","CCN;CN1;N1C;1C=;C=C;=C(;C(C;(C(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC(;C(F;(F);F)=;)=C;=C(;C(C;(C=;C=C;=C1;C12;12);2)N;)N1;N1C;1CC;CCN;CN(;N(C;(C);C)C;)CC;CC1"
"DB00488","CN(;N(C;(C);C)C;)C1;C1=;1=N;=NC;NC(;C(=;(=N;=NC;NC(;C(=;(=N;=N1;N1);1)N;)N(;N(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C"
"DB00489","CC(;C(C;(C);C)N;)NC;NCC;CC(;C(O;(O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(N;(NS;NS(;S(C;(C);C)(;)(=;(=O;=O);O)=;)=O;=O);O)C;)C=;C=C;=C1"
"DB00490","O=C;=C1;C1C;1CC;CC2;C2(;2(C;(CC;CCC;CCC;CC2;C2);2)C;)CC;CC(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCC;CCC;CCN;CN1;N1C;1CC;CCN;CN(;N(C;(CC;CC1;C1);1)C;)C1;C1=;1=N;=NC;NC=;C=C;=CC;CC=;C=N;=N1"
"DB00491","OCC;CCN;CN1;N1C;1C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H]1;]1C;1CO"
"DB00492","CCC;CC(;C(=;(=O;=O);O)O;)O[;O[C;[C@;C@@;@@H;@H];H](;](O;(O[;O[P;[P@;P@];@](;](=;(=O;=O);O)(;)(C;(CC;CCC;CCC;CCC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)CC;CC(;C(=;(=O;=O);O)N;)N1;N1C;1C[;C[C;[C@;C@@;@@H;@H];H](;](C;(C[;C[C;[C@;C@H;@H];H]1;]1C;1C(;C(O;(O);O)=;)=O;=O);O)C;)C1;C1C;1CC;CCC;CCC;CCC;CC1;C1);1)C;)C(;C(C;(C);C)C"
"DB00493","[H];H][;][C;[C@;C@];@]1;]12;12S;2SC;SCC;CC(;C(C;(CO;COC;OC(;C(C;(C);C)=;)=O;=O);O)=;)=C;=C(;C(N;(N1;N1C;1C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H]2;]2N;2NC;NC(;C(=;(=O;=O);O)C;)C(;C(=;(=N;=N/;N/O;/OC;OC);C)\;)\C;\C1;C1=;1=C;=CS;CSC;SC(;C(N;(N);N)=;)=N;=N1;N1);1)C;)C(;C(O;(O);O)=;)=O"
"DB00494","CCN;CN(;N(C;(CC;CC);C)C;)C(;C(=;(=O;=O);O)C;)C(;C(=;(=C;=C\;C\C;\C1;C1=;1=C;=CC;CC(;C(=;(=C;=C(;C(O;(O);O)C;)C(;C(O;(O);O)=;)=C;=C1;C1);1)[;)[N;[N+;N+];+](;]([;([O;[O-;O-];-]);])=;)=O;=O);O)\;)\C;\C#;C#N"
"DB00495","CC1;C1=;1=C;=CN;CN(;N([;([C;[C@;C@H;@H];H]2;]2C;2C[;C[C;[C@;C@H;@H];H](;](N;(N=;N=[;=[N;[N+;N+];+]=;]=[;=[N;[N-;N-];-]);])[;)[C;[C@;C@@;@@H;@H];H](;](C;(CO;CO);O)O;)O2;O2);2)C;)C(;C(=;(=O;=O);O)N;)NC;NC1;C1=;1=O"
"DB00496","NC(;C(=;(=O;=O);O)C;)C(;C([;([C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCN;CN(;N(C;(CC;CCC;CC2;C2=;2=C;=CC;CC3;C3=;3=C;=C(;C(O;(OC;OCC;CC3;C3);3)C;)C=;C=C;=C2;C2);2)C;)C1;C1);1)(;)(C;(C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00497","COC;OC1;C1=;1=C;=C2;C2O;2O[;O[C;[C@;C@H;@H];H]3;]3C;3C(;C(=;(=O;=O);O)C;)CC;CC[;C[C;[C@;C@@;@@];@]4;]4(;4(O;(O);O)[;)[C;[C@;C@H;@H];H]5;]5C;5CC;CC(;C(C;(C=;C=C;=C1;C1);1)=;)=C;=C2;C2[;2[C;[C@;C@@;@@];@]3;]34;34C;4CC;CCN;CN5;N5C"
"DB00498","O=C;=C1;C1C;1C(;C(C;(C(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12;12);2)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00499","CC(;C(C;(C);C)C;)C(;C(=;(=O;=O);O)N;)NC;NC1;C1=;1=C;=CC;CC(;C(=;(=C;=C(;C(C;(C=;C=C;=C1;C1);1)[;)[N;[N+;N+];+](;]([;([O;[O-;O-];-]);])=;)=O;=O);O)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB00500","CN1;N1C;1C(;C(C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)=;)=C;=CC;CC=;C=C;=C1;C1C;1C(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C);C)C;)C=;C=C;=C1"
"DB00501","CN\;N\C;\C(;C(N;(NC;NCC;CCS;CSC;SCC;CC1;C1=;1=C;=C(;C(C;(C);C)N;)NC;NC=;C=N;=N1;N1);1)=;)=N;=N\;N\C;\C#;C#N"
"DB00502","OC1;C1(;1(C;(CC;CCN;CN(;N(C;(CC;CCC;CCC;CC(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=C(;C(F;(F);F)C;)C=;C=C;=C2;C2);2)C;)CC;CC1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C1"
"DB00503","CC(;C(C;(C);C)[;)[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)N;)N(;N(C;(C);C)C;)CC;CC1;C1=;1=C;=CS;CSC;SC(;C(=;(=N;=N1;N1);1)C;)C(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)O;)OC;OCC;CC1;C1=;1=C;=CN;CN=;N=C;=CS;CS1;S1);1)C;)CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB00504","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CCC;CCC;CC[;C[C;[C@;C@@;@@];@]1;]11;11C;1CC;CCN;CN(;N(C;(CC;CC=;C=C;=C);C)[;)[C;[C@;C@@;@@H;@H];H]2;]2C;2CC;CC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C2"
"DB00508","CN(;N(C;(C);C)C;)CC;CCC;CCN;CN1;N1C;1C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2S;2SC;SC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(C;(C=;C=C;=C2;C2);2)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB00511","[H];H][;][C;[C@;C@@;@@];@]1;]1(;1(C;(CC;CC[;C[C;[C@;C@];@]2;]2(;2(O;(O);O)[;)[C;[C@;C@];@]3;]3(;3([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@];@]4;]4(;4([;([H;[H];H]);])C;)C[;C[C;[C@;C@H;@H];H](;](C;(CC;CC[;C[C;[C@;C@];@]4;]4(;4(C;(C);C)[;)[C;[C@;C@@;@@];@]3;]3(;3([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@];@]1;]12;12C;2C);C)O;)O[;O[C;[C@;C@H;@H];H]1;]1C;1C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O[;O[C;[C@;C@H;@H];H]2;]2C;2C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O[;O[C;[C@;C@H;@H];H]3;]3C;3C[;C[C;[C@;C@H;@H];H](;](O;(OC;OC(;C(C;(C);C)=;)=O;=O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)O3;O3);3)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)O2;O2);2)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)O1;O1);1)C;)C1;C1=;1=C;=CC;CC(;C(=;(=O;=O);O)O;)OC;OC1"
"DB00512","CN[;N[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H]1;]1[;1[C;[C@;C@H;@H];H](;](O;(O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=C(;C(O;(OC;OC3;C3=;3=C;=C(;C(O;(O[;O[C;[C@;C@@;@@H;@H];H]4;]4O;4O[;O[C;[C@;C@H;@H];H](;](C;(CO;CO);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H]4;]4O;4O[;O[C;[C@;C@H;@H];H]4;]4C;4C[;C[C;[C@;C@];@](;](C;(C);C)(;)(N;(N);N)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)O;)O4;O4);4)C;)C4;C4=;4=C;=CC;CC(;C(=;(=C;=C3;C3);3)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC1;C1=;1=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H]1;]1C;1C3;C3=;3=C;=CC;CC(;C(=;(=C;=C(;C(O;(O);O)C;)C=;C=C;=C3;C3);3)C;)C3;C3=;3=C;=C(;C(O;(O);O)C;)C=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C3;C3[;3[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC1;C1=;1=O;=O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)C1;C1=;1=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C(;C(O;(O4;O4);4)C;)C=;C=C;=C1;C1);1)C;)C(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(C;(Cl;Cl);l)=;)=C;=C2"
"DB00513","NCC;CCC;CCC;CCC;CCC;CC(;C(O;(O);O)=;)=O"
"DB00514","[H];H][;][C;[C@;C@];@]1;]12;12C;2CC;CCC;CCC;CC[;C[C;[C@;C@];@]1;]11;11C;1CC;CCN;CN(;N(C;(C);C)[;)[C;[C@;C@H;@H];H]2;]2C;2CC;CC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(O;(OC;OC);C)C;)C=;C=C;=C2"
"DB00515","[H];H][;][N;[N];N](;]([;([H;[H];H]);])(;)([;([H;[H];H]);])[;)[P;[Pt;Pt];t](;](C;(Cl;Cl);l)(;)(C;(Cl;Cl);l)[;)[N;[N];N](;]([;([H;[H];H]);])(;)([;([H;[H];H]);])[;)[H;[H]"
"DB00517","[Br;Br-;r-];-].;].C;.CC;CCC;CCC;CC(;C(C;(CC;CCC;CC);C)C;)C(;C(=;(=O;=O);O)O;)O[;O[C;[C@;C@H;@H];H]1;]1C;1CC;CC2;C2C;2CC;CCC;CC(;C(C;(C1;C1);1)[;)[N;[N+;N+];+]2;]2(;2(C;(C);C)C"
"DB00518","CCC;CCS;CSC;SC1;C1=;1=C;=CC;CC2;C2=;2=C;=C(;C(C;(C=;C=C;=C1;C1);1)N;)N=;N=C;=C(;C(N;(NC;NC(;C(=;(=O;=O);O)O;)OC;OC);C)N;)N2"
"DB00519","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C[;C[C;[C@;C@H;@H];H](;](N;(N(;N(C;(C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC3;C3=;3=C;=CC;CC=;C=C;=CC;CC=;C=C;=C3;C3);3)C;)C(;C(=;(=O;=O);O)O;)OC;OCC;CC);C)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)CC;CCC;CCC;CC2;C2);2)C;)C(;C(O;(O);O)=;)=O"
"DB00520","CCC;CC(;C(C;(C);C)C;)CC;CC(;C(C;(C);C)C;)CC;CCC;CCC;CCC;CCC;CCC;CCC;CCC;CC(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H]1;]1C;1C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NCC;CCN;CN);N)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]2;]2[;2[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CCN;CN2;N2C;2C(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]2;]2C;2C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CN;CN2;N2C;2C(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC1;C1=;1=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)CC;CCN"
"DB00521","CC(;C(C;(C);C)(;)(C;(C);C)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;COC;OC1;C1=;1=C;=CC;CC=;C=C;=CC;CC2;C2=;2=C;=C1;C1C;1CC;CCC;CC(;C(=;(=O;=O);O)N;)N2"
"DB00523","C\C;\C(;C(\;(\C;\C=;C=C;=C\;C\C;\C1;C1=;1=C;=C(;C(C;(C);C)C;)CC;CCC;CCC;CC1;C1(;1(C;(C);C)C;)C);C)=;)=C;=C\;C\C;\C=;C=C;=C\;C\C;\C(;C(\;(\C;\C);C)=;)=C;=C\;C\C;\C(;C(O;(O);O)=;)=O"
"DB00524","CC1;C1N;1NC;NC2;C2=;2=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C(;C(C;(C=;C=C;=C2;C2C;2C(;C(=;(=O;=O);O)N;)N1;N1C;1C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1C;1C);C)S;)S(;S(N;(N);N)(;)(=;(=O;=O);O)=;)=O"
"DB00525","CN(;N(C;(C(;C(=;(=S;=S);S)O;)OC;OC1;C1=;1=C;=CC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2C=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC(;C(C;(C);C)=;)=C;=C1"
"DB00526","[H];H][;][N;[N];N]1;]1(;1([;([H;[H];H]);])[;)[C;[C@;C@@;@@H;@H];H]2;]2C;2CC;CCC;CCC;CC[;C[C;[C@;C@H;@H];H]2;]2[;2[N;[N];N](;]([;([H;[H];H]);])(;)([;([H;[H];H]);])[;)[P;[Pt;Pt];t]1;]11;11O;1OC;OC(;C(=;(=O;=O);O)C;)C(;C(=;(=O;=O);O)O;)O1"
"DB00527","CCC;CCC;CCO;COC;OC1;C1=;1=N;=NC;NC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2C(;C(=;(=C;=C1;C1);1)C;)C(;C(=;(=O;=O);O)N;)NC;NCC;CCN;CN(;N(C;(CC;CC);C)C;)CC"
