"Drug_ID","Interaction_Types"
"DB00790","10;30;37;4;47;49;57;60;63;68;70;73;75;77;82;86"
"DB00791","15;49;58"
"DB00792","70;73;76;77"
"DB00793","13;47;49;67;70;73;75"
"DB00794","11;16;30;32;4;47;49;60;70;73;75;77;80"
"DB00795","27;29;37;49;57;6;66;67;68;70;72;73;75;80"
"DB00796","10;30;37;4;47;49;56;57;60;68;70;73;75;77;82"
"DB00797","10;30;37;49;60;70"
"DB00798","21;24;40;49;57;7;70;72;73;75"
"DB00799","4;47;73;75"
"DB00800","10;30;37;49;60;70"
"DB00801","16;32;49;70;8"
"DB00802","16;32;39;4;47;49;54;60;64;65;69;70;73;75;77;79;8"
"DB00803","70"
"DB00804","2;39;49;59;70;73;85"
"DB00805","17;2;27;30;31;33;41;44;47;49;54;60;64;70;71;73;79;8;9"
"DB00806","47;49;53;6;60;73;75"
"DB00807","16;32;49;8"
"DB00808","10;20;30;37;4;47;49;51;55;56;57;60;67;70;72;73;75;82;83;86"
"DB00809","2;39;49;59;70;73;85"
"DB00810","2;39;49;59;70;73;77;85"
"DB00811","49;77;80"
"DB00812","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00813","16;32;39;45;49;54;60;64;65;69;70;73;75;77;79;8"
"DB00814","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00816","14;33;49;5;70;71;83;85"
"DB00817","27;33;47;49;6;67;73;75;9"
"DB00818","16;20;30;32;33;4;47;49;60;73;75;77;8"
"DB00819","49;56;57;70;72;73;75"
"DB00820","10;38;47;49;60;73;75"
"DB00821","1;27;29;37;49;57;6;66;67;68;70;72;73"
"DB00822","4;47;49;70;73;75;77"
"DB00823","11;12;70;73;75;81"
"DB00826","13;47;49;67;70;73;75"
"DB00827","15;27;33;47;49;58;6;67;73;75;9"
"DB00828","70"
"DB00829","16;32;4;47;49;70;73;75;80"
"DB00830","49;70;71;85"
"DB00831","16;32;35;36;47;49;60;61;67;70;73;75;77;8;82"
"DB00832","70;73;75"
"DB00833","6;70;73"
"DB00834","20;47;49;70;73;75;77;9"
"DB00835","16;32;4;47;49;70;73;75;76;77;8"
"DB00836","39;4;47;73;75;77"
"DB00837","33;70;75"
"DB00838","22;3;49;6;67;70;73;74;75;78;83"
"DB00839","43;47;49;50;6;70;73;75;8;9"
"DB00841","14;47;49;5;70;71;83;85"
"DB00842","16;32;4;47;49;70;73;75;8"
"DB00843","17;25;33;4;47;49;54;70;73;75"
"DB00844","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB00845","4;47;49;70;72;73;75;77"
"DB00846","22;3;49;6;67;70;73;74;75;78;83"
"DB00847","49;70"
"DB00849","16;30;32;4;47;49;60;70;73;75"
"DB00850","16;32;35;36;4;47;49;60;61;67;70;73;75;77;8;82"
"DB00851","15;34;47;49;58;73;75"
"DB00852","25;37;45;47;49;5;61;69;70;71;72;73;75;76;85"
"DB00853","15;34;49;58;75"
"DB00854","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB00855","1;15;49;58"
"DB00856","75"
"DB00857","11;13;4;47;49;67;70;73;75;77"
"DB00859","67;73;75"
"DB00860","11;15;22;3;34;47;49;58;6;67;70;73;74;75;83"
"DB00861","27;29;37;49;57;6;66;67;68;70;72;73;9"
"DB00862","10;20;38;4;47;49;60;73;75"
"DB00863","11;18;4;47;49;67;70;73;75;76;77"
"DB00864","18;20;34;4;42;47;49;57;68;70;73;75"
"DB00865","25;37;4;45;47;49;61;69;70;71;72;73;75;76;85"
"DB00866","10;14;19;25;30;37;46;47;49;54;60;70;73;75;9"
"DB00867","14;33;49;5;70;71;83;85"
"DB00869","10;37;4;47;49;60;70;72;73;75"
"DB00870","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00871","14;20;33;49;5;70;71;83;85"
"DB00872","11;30;4;47;49;56;57;60;70;73;75"
"DB00873","22;3;49;6;67;70;73;74;75;78;83"
"DB00875","16;20;32;33;35;36;49;61;70;73;77;8;82"
"DB00876","10;30;37;49;57;60;68;70;73;82"
"DB00877","13;15;34;4;47;49;58;67;70;73;75;77"
"DB00879","49;80"
"DB00880","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB00881","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00882","11;49;73;75"
"DB00883","30;38;4;47;49;60;73;75"
"DB00884","18;21;24;4;47;49;60;70;73;75"
"DB00885","70;76"
"DB00887","17;20;29;30;49;56;57;60;67;70;73;75;82;83"
"DB00888","15;34;49;58"
"DB00889","20;4;47;52;60;64;73;75;77;82"
"DB00890","12;28;4;47;49;70;73;75;81"
"DB00891","49"
"DB00892","16;32;49;8"
"DB00894","15;49;58"
"DB00896","22;3;49;6;67;70;73;74;75;78;83"
"DB00897","16;32;4;47;49;70;73;75;8"
"DB00898","16;18;30;32;35;38;4;47;49;60;70;73;75;80"
"DB00899","16;30;32;33;39;49;54;60;64;65;69;70;75;79;8"
"DB00900","49;67;70;73;75"
"DB00903","17;20;29;30;49;56;57;60;67;7;70;73;75;82;83"
"DB00904","16;20;32;33;35;36;4;47;49;52;60;61;64;70;73;75;77;8;82"
"DB00905","10;37;60;70"
"DB00906","16;32;4;47;49;70;73;75"
"DB00907","16;32;33;4;45;47;49;64;70;73;75;77;8"
"DB00908","11;2;20;21;33;39;4;47;49;52;59;6;60;70;72;73;75;77;80;82;85"
"DB00909","16;32;4;47;49;70;73;75"
"DB00910","4;47;49;51;73;75;82"
"DB00911","4;47;49;73;75"
"DB00912","4;47;49;50;70;73;75;8;9"
"DB00914","47;50;70;73;8;9"
"DB00915","16;2;20;49;70;73;77"
"DB00916","20;4;47;49;70;73;75;77"
"DB00917","47;49;70;73;75"
"DB00918","19;4;47;49;64;71;73;75"
"DB00919","21;24;40;49;57;7;70;72;73;75"
"DB00920","70;76"
"DB00921","11;16;32;39;4;47;49;54;60;64;65;69;70;73;75;77"
"DB00922","30;49;60"
"DB00923","6;70;73"
"DB00924","16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;8;82;84"
"DB00925","10;30;37;4;47;49;60;70;73;75"
"DB00927","18;20;4;47;67;70;73;75;76"
"DB00928","15;34;49;58"
"DB00929","49;70"
"DB00931","70"
"DB00932","11;28;4;47;49;53;6;70;73;75;77"
"DB00933","16;32;33;35;36;47;49;60;61;67;70;73;8;82"
"DB00934","16;20;32;47;49;64;73;75;77;8"
"DB00935","25;37;49;5;70;71;85"
"DB00936","13;27;29;37;4;47;49;57;6;66;67;68;70;72;73;75;9"
"DB00937","23;45;49;61;69;70;71;72;75;76"
"DB00938","14;20;4;47;49;5;70;71;73;75;83;85"
"DB00939","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00940","18;2;39;49;59;67;70;73;75;85"
"DB00943","4;47;49;73;75;80"
"DB00944","17;49;54;70;73"
"DB00945","27;29;37;4;47;49;53;57;6;66;67;68;70;72;73;75;77;9"
"DB00946","12;4;47;49;6;66;67;70;73;75"
"DB00947","15;4;47;49;58;73;75"
"DB00948","11;6;70;73;75"
"DB00949","16;20;32;4;47;49;70;73;75;77"
"DB00950","16;32;49;62;70;73;75;76;77;8"
"DB00951","11;47;49;67;70;73;75;77;80"
"DB00952","19;47;49;64;71;73"
"DB00953","19;47;49;64;71;73;75"
"DB00954","70"
"DB00955","21;24;40;49;57;7;70;72;73;75"
"DB00956","11;16;32;39;47;49;54;60;64;65;69;70;73;75"
"DB00957","11;12;70;73;75;81"
"DB00958","15;34;49;58;63;7;73;75"
"DB00959","15;22;3;34;47;49;58;6;67;70;73;74;75;83"
"DB00960","10;19;25;30;37;46;47;49;54;60;70;73;75;77;9"
"DB00961","16;32;49;73;8"
"DB00962","16;32;47;49;70;73;75;76"
"DB00963","27;29;37;49;57;6;66;67;68;70;72;73"
"DB00964","30;37;49;5;60;70;71;85"
"DB00966","10;30;37;49;57;60;68;70;73;77;82"
"DB00967","16;2;32;39;49;59;70;73;76;77;8"
"DB00968","10;25;30;31;37;47;49;5;54;60;70;71;75;85"
"DB00969","39;4;47;73;75"
"DB00970","15;34;49;58;70;73;75;77"
"DB00972","11;16;27;29;32;37;4;47;49;53;57;6;66;67;68;70;72;73;75;76;77;8"
"DB00973","49;67;73;75"
"DB00974","12;49;6;66;70"
"DB00975","30;49;53;54;6;60;70;73;75"
"DB00976","11;20;4;47;49;54;70;73;75;77"
"DB00977","12;28;4;47;49;70;72;73;75;81"
"DB00978","15;47;49;58;70;73;75"
"DB00979","2;39;49;59;70;73;85"
"DB00980","16;32;4;47;49;73;75;76;8"
"DB00981","17;49;54;70;73"
"DB00982","49;70;80"
"DB00983","14;20;33;4;47;49;5;70;71;73;75;82;83;85"
"DB00985","16;32;49;70;76;8"
"DB00986","2;39;49;70;73;75;85"
"DB00987","15;34;4;47;49;58;70;73;75"
"DB00988","4;47;49;60;70;71;73;75;82;85"
"DB00989","17;25;49;54;70;73;77"
"DB00990","15;47;49;58;70;73;75"
"DB00991","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB00992","15;49;58"
"DB00993","12;34;47;49;58;63;73;77;80"
"DB00996","16;21;32;4;47;49;60;70;73;75"
"DB00997","15;21;24;34;4;40;47;49;57;58;7;70;72;73;75;77;80"
"DB00998","19;47;49;64;71;73;75"
"DB00999","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB01000","11;6;70;73;75"
"DB01001","14;20;33;49;5;70;71;73;83;85"
"DB01002","16;30;32;4;47;49;60;73;75;8"
"DB01004","49;73"
"DB01005","15;34;49;58;73;77"
"DB01006","11;15;4;47;49;58;73;75"
"DB01007","13;47;49;67;70;73;75;77"
"DB01008","15;34;4;47;49;58;73;75"
"DB01009","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB01010","17;25;49;54;70;73"
"DB01011","11;49;73;75;77"
"DB01012","11;4;47;70;73;75;77"
"DB01013","22;3;49;6;67;70;73;74;75;78;83"
"DB01014","27;29;37;47;49;57;6;66;67;68;70;72;73;75;9"
"DB01015","20;4;47;49;57;6;63;73;75;9"
"DB01016","4;43;47;49;50;6;70;72;73;75;77;8;80;9"
"DB01017","16;21;49;6;67;70;75;80"
"DB01018","10;16;25;30;32;37;4;47;49;5;54;60;70;71;73;75;8;85"
"DB01019","49"
"DB01020","30;38;4;47;49;60;73;75"
"DB01021","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB01022","12;75;81"
"DB01023","10;21;30;37;4;47;49;60;70;73;75;77"
"DB01024","11;15;29;34;37;49;57;58;6;66;67;70;72;73;75"
"DB01026","11;13;20;4;47;49;67;70;72;73;75;77"
"DB01028","16;21;32;4;47;49;71;73;75;8;82"
"DB01029","10;30;37;4;47;49;57;60;68;70;73;75;77;82"
"DB01030","15;34;49;58;73;75"
"DB01032","43;47;49;70;72;73;75;77"
"DB01033","12;15;34;47;49;58;63;73;80"
"DB01034","13;47;49;67;70;73;75"
"DB01035","20;21;33;47;49;73;77;82"
"DB01036","2;20;39;4;47;49;59;6;70;73;75;85"
"DB01037","2;27;30;31;4;41;44;45;47;49;60;64;71;73;75;77;79;8;9"
"DB01039","4;47;48;49;57;6;67;70;73;75;9"
"DB01041","15;16;28;30;32;34;4;47;49;57;58;60;70;73;75;8;81"
"DB01042","15;34;49;57;58"
"DB01043","11;17;49;54;70;72;73"
"DB01044","15;27;33;47;49;58;6;67;70;73;75;9"
"DB01045","11;26;4;47;49;60;70;72;73;75;77;80"
"DB01046","70"
"DB01047","22;3;49;6;67;70;73;74;75;78;83"
"DB01048","49;70;75;80"
"DB01050","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75"
"DB01051","70;72;73"
"DB01053","11;6;70;72;73;75"
"DB01054","10;21;30;37;4;47;49;60;67;70;73;75;77"
"DB01057","17;49;54;70;73"
"DB01058","47;73;75;77"
"DB01059","11;15;20;27;33;47;49;58;6;67;70;73;75;9"
"DB01060","11;4;47;6;70;72;73;75;86"
"DB01061","11;6;70;73;75"
"DB01062","16;2;39;4;47;49;59;70;73;75;77;85"
"DB01063","33;35;36;49;61;70;82"
"DB01064","14;49;5;70;71;75;82;83;85"
"DB01065","16;32;37;4;47;49;73;75;8"
"DB01066","70;75"
"DB01067","4;43;47;49;50;6;70;73;75;8;9"
"DB01068","16;32;4;47;49;70;73;75;80"
"DB01069","16;18;20;32;4;47;49;5;60;64;67;70;73;75;76;77;8"
"DB01070","49;51;73;75;82"
"DB01071","2;47;49;67;70;73;76;82"
"DB01072","11;20;4;47;49;67;70;73;75;77"
"DB01073","15;34;49;58"
"DB01074","21;4;47;49;60;70;73;75;77"
"DB01075","11;16;20;32;4;47;49;70;73;75;76;77;8"
"DB01076","4;47;48;49;6;73;75;77;9"
"DB01077","24;49;70;75"
"DB01078","25;49;54;58;67;70;73;75;82"
"DB01080","16;32;49;70;75"
"DB01081","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB01082","21;24;40;49;57;7;70;72;73;75"
"DB01083","6;67;75"
"DB01084","70;76"
"DB01085","11;4;47;49;73;75"
"DB01086","16;32;49;73;77;8"
"DB01087","20;33;4;47;49;73;75;77"
"DB01088","30;49;53;6;60;70"
"DB01089","10;37;60;70"
"DB01090","10;2;37;39;49;59;60;70;73;85"
"DB01091","13;47;49;67;70;73;75"
"DB01092","25;49;54;58;67;70;73;75;82"
"DB01093","47;49;70;73;77"
"DB01094","47;73;75"
"DB01095","4;47;48;49;6;73;75;77;80"
"DB01096","73;75;77"
"DB01097","11;27;29;34;37;4;47;49;57;58;6;66;68;70;72;73;75;77"
"DB01098","4;47;48;49;6;73;75;80"
"DB01099","13;47;49;67;70;73;75;77"
"DB01100","16;20;32;33;35;36;4;47;49;61;70;73;75;77;8;82"
"DB01101","15;34;47;49;58;73;77"
"DB01102","14;49;5;70;71;83;85"
"DB01103","15;33;4;47;49;58;73;75;77"
"DB01104","11;20;27;4;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB01105","4;47;73;75"
"DB01106","16;32;49;70;76;8"
"DB01107","47;73"
"DB01108","15;49;58"
"DB01110","11;13;4;47;49;67;70;73;75;77;9"
"DB01111","21;57"
"DB01112","6;67;70;73;75"
"DB01113","30;33;49;60"
"DB01114","16;32;4;47;49;64;70;73;75;76;77;8;82"
"DB01115","21;30;37;4;47;49;60;70;73;75;77"
"DB01116","10;2;37;39;49;59;60;70;73;85"
"DB01117","33;49;73;75"
"DB01118","11;20;3;30;33;4;47;49;54;6;60;67;70;73;75;77;80;82"
"DB01119","10;37;49;60;70;75"
"DB01120","4;43;47;49;50;6;70;73;75;8;9"
"DB01121","70;75"
"DB01122","17;49;54;70;73"
"DB01124","4;43;47;49;50;6;70;73;75;8;9"
"DB01126","4;47;73;75"
"DB01127","13;33;47;49;67;70;73;75"
"DB01128","15;4;47;49;58;70;73;75;77"
"DB01129","11;18;4;47;49;67;70;73;75;77"
"DB01130","22;3;49;6;67;70;73;74;75;78;83"
"DB01131","33;4;47;49;6;73;75;77"
"DB01132","4;47;50;70;73;75;77;8;9"
"DB01133","24;49;70;73;75"
"DB01135","17;21;40;82"
"DB01136","10;19;25;30;37;4;46;47;49;5;54;60;70;73;75;77;9"
"DB01137","15;20;27;33;47;49;58;6;67;70;73;75;77;9"
"DB01138","4;47;49;6;72;73;75"
"DB01139","6;70;73"
"DB01140","6;70;73"
"DB01141","13;47;49;67;70;73;75"
"DB01142","16;18;20;27;30;32;35;37;4;47;49;6;60;64;67;70;73;75;76;77;8;82;84"
"DB01143","30;49;60"
"DB01144","30;49;60;70;72;73;75"
"DB01147","11;12;70;73;75"
"DB01149","11;27;4;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB01150","70"
"DB01151","11;16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB01153","13;33;47;49;67;70;73;75"
"DB01154","16;30;32;4;47;49;60;70;73;75;8"
"DB01155","15;20;27;33;47;49;58;6;67;70;72;73;75;9"
"DB01156","11;4;45;47;49;64;70;73;75;77"
"DB01157","13;15;47;49;58;67;70;73;75"
"DB01158","10;30;37;49;54;60;70"
"DB01159","16;21;30;32;4;47;49;60;71;73;75;8;82"
"DB01160","49;70"
"DB01161","16;32;49;8"
"DB01162","10;30;49;5;60;73;77"
"DB01164","49;67;70;72;75;82"
"DB01165","15;20;49;58;70"
"DB01166","33;4;47;49;53;6;60;73;75"
"DB01167","11;13;20;47;49;67;70;73;75;77"
"DB01168","15;2;27;30;31;34;41;44;47;49;58;60;64;71;73;8;9"
"DB01169","15;20;30;33;49;58;60;70;73;75"
"DB01170","10;37;60;70;75"
"DB01171","11;2;27;30;31;33;4;41;44;47;49;60;64;71;73;75;77;79;8;9"
"DB01172","21;24;40;49;57;7;70;72;73;75"
"DB01173","16;2;32;39;4;47;49;59;70;73;75"
"DB01174","11;16;30;32;4;47;49;60;70;73;75;77;80"
"DB01175","20;27;33;4;45;47;49;53;55;6;64;66;70;73;75;77;9"
"DB01176","16;32;49;70;76;8"
"DB01177","15;21;24;34;4;40;47;49;57;58;7;72;73;75;77"
"DB01178","16;32;49;70;8"
"DB01179","15;4;47;49;58;73;75"
"DB01180","10;37;49;57;60;63;68;70;73;75;82;86"
"DB01181","11;15;34;4;47;49;58;6;73;75;77"
"DB01182","20;25;47;49;54;73;75;77;82"
"DB01183","4;47;49;73;75"
"DB01184","20;33;4;47;49;73;75"
"DB01185","6;74;80;9"
"DB01186","19;25;37;4;47;49;62;70;71;73;75;77"
"DB01188","13;47;49;67;70;73;75"
"DB01189","16;20;21;30;32;49;60;71;8;82"
"DB01190","21;4;47;49;67;70;73;75"
"DB01191","11;47;73;75;77"
"DB01192","16;32;39;4;47;49;54;60;64;65;69;70;73;75;8"
"DB01193","10;14;19;25;30;37;46;47;49;54;60;70;71;73;75;77;85;9"
"DB01194","4;47;49;70;72;73;75"
"DB01195","20;33;47;49;73;75;77;82"
"DB01196","12;15;34;4;47;49;58;67;70;73;75;77;81"
"DB01197","10;30;37;4;47;49;57;60;63;68;70;73;75;77;82;86"
"DB01198","16;32;4;47;49;73;75;76;8"
"DB01199","17;2;21;39;40;49;54;59;70;73;82;85"
"DB01200","19;25;30;37;4;47;49;60;62;64;70;71;73;75;77;9"
"DB01201","11;4;49;70;73;75;77;80"
"DB01202","16;32;49;70;73;75"
"DB01203","10;19;25;30;37;46;47;49;54;60;70;73;75;9"
"DB01204","15;34;47;49;58;73;75;77"
"DB01205","16;49;70;73;76"
"DB01206","15;34;47;49;58;73;77"
"DB01207","49;53;6"
"DB01208","15;27;33;47;49;58;6;67;70;73;75;9"
"DB01209","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB01210","19;25;30;37;46;47;49;54;60;73;75;9"
"DB01211","11;20;47;49;63;70;73;75;77"
"DB01212","49;6;70;73"
"DB01213","11"
"DB01214","10;19;25;30;37;46;47;49;54;60;70;73;75;9"
"DB01215","16;32;4;47;49;70;73;75"
"DB01216","4;47;73;75"
"DB01217","15;49;58;70;73;75"
"DB01218","20;33;4;47;49;73;75;77"
"DB01219","16;21;32;4;47;49;73;75;8"
"DB01220","4;47;49;70;73;75;80"
"DB01221","16;32;4;47;49;73;75;77;8"
"DB01222","22;3;34;4;49;6;67;70;73;74;75;83"
"DB01223","14;4;47;49;60;70;73;75;77"
"DB01224","16;20;30;32;33;35;36;47;49;60;61;70;73;75;77;8;82"
"DB01226","17;21;22;40;49;82"
"DB01227","16;32;33;39;4;47;49;54;60;64;65;69;70;73;75;8"
"DB01228","47;73"
"DB01229","15;30;34;35;4;47;49;58;60;63;72;73;75;77"
"DB01232","11;20;4;47;49;70;73;75;77;82"
"DB01233","17;18;20;47;49;54;64;70;73;75;77"
"DB01234","11;15;22;28;3;34;47;49;58;6;67;70;73;74;75;77;81;83"
"DB01235","16;30;32;47;49;60;64;70;73;75;8"
"DB01236","16;20;21;30;32;33;4;47;49;53;6;60;71;73;75;8;82"
"DB01238","16;20;32;35;36;49;60;61;70;73;75;77;8;82"
"DB01239","16;32;33;35;36;49;61;70;73;77;8;82"
"DB01240","10;30;37;4;47;49;53;6;60;70;73;75"
"DB01241","11;4;47;48;49;57;6;67;70;73;75;77;9"
"DB01242","11;16;20;23;27;30;32;35;37;4;47;49;6;60;64;70;73;75;77;8;82;84"
"DB01243","13;47;49;67;70;73;75"
"DB01244","10;20;21;30;33;37;4;47;49;60;70;73;75;77;82"
"DB01245","17;21;40;49;54;70;73;82"
"DB01246","49;60;67;70;73;75;76"
"DB01247","2;27;30;31;33;41;44;47;49;60;64;71;73;79;8;9"
"DB01248","15;34;4;47;49;58;63;73;75"
"DB01249","49"
"DB01250","27;29;37;47;49;57;6;66;67;68;70;72;73;75;9"
"DB01251","43;47;49;50;6;70;73;75;8;9"
"DB01252","50;70;8;9"
"DB01253","19;4;47;49;62;64;71;73;75;77"
"DB01254","15;20;34;47;49;58;6;67;73;75;77;80"
"DB01255","23;45;49;61;69;70;71;72;75;76"
"DB01256","4;47;70;73;75"
"DB01259","15;20;4;47;49;58;73;75;77"
"DB01260","22;3;49;6;67;70;73;74;75;78;83"
"DB01261","4;47;49;50;70;73;75;8;9"
"DB01262","15;49;58"
"DB01263","11;13;20;4;47;49;67;70;73;75;77;9"
"DB01264","11;4;47;49;70;73;75;77"
"DB01267","16;20;25;32;33;35;36;37;49;61;70;73;75;8;82"
"DB01268","15;20;34;47;49;58;73;75;77;9"
"DB01273","49;73"
"DB01274","14;20;33;4;47;49;5;70;71;73;75;83;85"
"DB01275","10;30;37;49;60;70;73"
"DB01280","15;34;49;58"
"DB01282","30;49;60"
"DB01283","27;29;37;4;47;49;53;57;6;66;67;68;70;72;73;75;81"
"DB01284","80"
"DB01288","14;33;49;5;70;71;83;85"
"DB01289","43;47;49;6;73;75;9"
"DB01291","14;33;49;5;70;71;83;85"
"DB01294","75"
"DB01295","19;25;30;37;46;47;49;54;60;73;75;9"
"DB01296","4;47;53;6;73;75"
"DB01297","19;25;30;37;46;47;49;54;60;73;75;9"
"DB01298","49"
"DB01299","33;49;73"
"DB01301","49;70;73"
"DB01303","47;70;73;75"
"DB01319","11;4;47;49;70;73;75;77"
"DB01320","11;16;17;20;29;32;4;43;47;49;6;70;73;75;77"
"DB01321","20;33;47;49;70;73"
"DB01324","10;20;30;37;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB01325","20;30;49;51;55;56;57;60;67;70;72;73;82;83;86"
"DB01326","6;70;73"
"DB01327","43;6;70;73"
"DB01328","6;70;73"
"DB01329","6;70;73"
"DB01330","49;6;70;73"
"DB01331","6;70;73"
"DB01332","6;70;73"
"DB01333","6;70;73;75"
"DB01336","17;21;40;82"
"DB01337","17;2;21;39;40;49;59;70;73;82;85"
"DB01338","17;2;21;39;40;49;59;70;73;82;85"
"DB01339","17;2;21;39;40;49;59;70;73;75;82;85"
"DB01340","10;30;37;4;47;49;57;60;63;68;70;73;75;77;82;86"
"DB01345","49;56;57;70"
"DB01348","10;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB01349","4;47;49;57;68;73;75;82"
"DB01351","16;30;32;4;47;49;60;70;73;75;8"
"DB01353","16;32;49;8"
"DB01355","16;30;32;4;47;49;60;70;73;75;8"
"DB01356","16;20;21;32;33;35;49;61;64;65;70;72;73;75;8;82"
"DB01357","12;28;4;47;49;70;73;75;81"
"DB01359","10;14;19;25;30;37;46;47;49;54;60;70;73;75;9"
"DB01362","49"
"DB01364","49;5;70;71;82;85"
"DB01365","45;49;5;61;69;70;71;72;75;76;84;85"
"DB01366","14;33;49;5;70;71;83;85"
"DB01367","2;27;30;31;41;44;47;49;60;64;71;73;75;79;8;9"
"DB01369","49;70;73"
"DB01370","18;3;49;67;70;72;73;75"
"DB01377","16;18;21;3;49;67;70;72;73;75"
"DB01378","75"
"DB01380","11;22;3;34;4;47;49;6;67;70;73;74;75;83"
"DB01384","22;3;4;47;49;6;67;70;73;74;75;83"
"DB01390","18;3;49;65;67;70;72;73;75"
"DB01392","37;4;47;70;73;75;77"
"DB01393","4;47;48;49;57;6;67;70;73;75;9"
"DB01394","4;48;49;58;70;73;75;77"
"DB01395","11;12;49;56;57;68;70;73;75;81"
"DB01396","25;4;47;49;54;58;67;70;73;75;82"
"DB01397","16;21;29;37;49;57;6;66;67;68;70;72;73;75"
"DB01399","27;29;37;49;57;6;66;67;68;70;72;73"
"DB01400","17;49;54;70;73;77"
"DB01401","27;29;37;49;57;6;66;67;68;70;72;73"
"DB01403","16;20;32;33;47;49;60;61;67;70;73;77;82"
"DB01406","47;49;51;6;70;73;74;80"
"DB01407","14;47;49;5;70;71;73;75;83;85"
"DB01408","14;49;70;8;83;85"
"DB01409","2;39;4;47;49;59;70;73;75;85"
"DB01410","22;3;4;47;49;6;67;70;73;74;75;83"
"DB01411","70;73"
"DB01412","47;49;56;57;70;73;75"
"DB01413","70"
"DB01414","6;70;73"
"DB01415","70"
"DB01416","6;67;70;73;75"
"DB01418","12;4;47;49;6;66;67;70;73;75"
"DB01420","47;49;6;70;74;80;9"
"DB01421","21;24;40;49;57;7;70;72;73;75"
"DB01422","13;47;49;67;70;73;75"
"DB01423","34;49"
"DB01424","4;47;73;75"
"DB01426","20;47;73;77;82"
"DB01427","21;4;47;49;60;70;73;75"
"DB01429","47;73"
"DB01431","4;47;70;73;75"
"DB01433","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB01435","27;29;37;4;47;49;57;6;66;67;68;70;72;73;75;77"
"DB01436","73"
"DB01437","16;32;4;49;8"
"DB01438","49"
"DB01440","16;32;49;8"
"DB01452","16;32;33;39;49;54;60;64;65;69;70;75;8"
"DB01463","16;32;33;35;36;49;61;70;8;82"
"DB01466","16;32;39;4;47;49;54;60;64;65;69;70;73;75;8"
"DB01489","16;49;70;73"
"DB01501","16;32;49;8"
"DB01511","16;49;70;73;75"
"DB01544","16;32;4;47;49;70;73;75;8"
"DB01545","16;32;49;70;8"
"DB01551","16;32;39;4;47;49;52;54;60;64;65;69;70;73;75;8"
"DB01553","70"
"DB01558","16;32;4;47;49;70;73;75;8"
"DB01559","4;47;49;70;73;75"
"DB01563","16;32;49;73;8"
"DB01567","16;32;49;70;73;75"
"DB01575","67;75"
"DB01576","18;23;45;47;49;61;69;70;71;72;73;75;76;77"
"DB01577","25;37;45;47;49;61;69;70;71;72;73;75;76;77;85"
"DB01578","21;24;40;49;57;7;72;73;75"
"DB01579","49"
"DB01580","10;14;16;19;25;30;32;37;46;47;49;54;60;70;73;75;77;8;9"
"DB01581","49;70"
"DB01582","49"
"DB01583","4;49;6;70;73;75;82"
"DB01586","67;70;72;75"
"DB01587","16;32;4;47;49;70;73;75;8"
"DB01588","16;32;4;47;49;70;73;75;8"
"DB01589","16;32;4;47;49;70;73;75;8"
"DB01590","34;49;58;70;73;75"
"DB01591","2;20;39;4;47;49;59;70;73;75;85"
"DB01592","49;57;67;75"
"DB01595","16;32;4;47;49;70;73;75;77;80"
"DB01597","4;47;49;70;73;75"
"DB01598","35;70;73;75"
"DB01599","33"
"DB01600","1;27;29;37;49;57;6;66;67;68;70;72;73"
"DB01601","11;20;33;4;47;49;57;70;73;75;77"
"DB01602","11;6;70;73;75"
"DB01603","11;6;70;73;75"
"DB01604","11;6;70;73;75"
"DB01605","11;6;70;73;75"
"DB01606","11;6;70;73;75"
"DB01607","11;6;70;73;75"
"DB01608","33;35;36;49;60;61;67;70;73;82"
"DB01609","49;70;73;75"
"DB01610","49;73"
"DB01611","33;47;49;73;75;77"
"DB01612","30;38;49;60"
"DB01613","38;49;60"
"DB01614","16;32;33;35;36;49;60;61;67;70;73;8;82"
"DB01615","16;32;33;35;36;49;60;61;67;70;73;8;82"
"DB01618","16;32;33;35;36;49;61;70;8;82"
"DB01619","70;76"
